id,key,value,type
244080459,name,汉阳区,regular
244080459,place,suburb,regular
244080459,gns:DSG,ADM3,regular
244080459,gns:UFI,-1908438,regular
244080459,gns:UNI,10069664,regular
244080459,vi,Hán Dương,name
244080459,zh,汉阳区,name
244080459,gns:ADM1,12,regular
244080459,zh_pinyin,Hanyang Qu,name
244080537,FIXME,verify position,regular
244080537,gns:ADM1,12,regular
244080537,gns:DSG,ADM3,regular
244080537,gns:UFI,-1908306,regular
244080537,gns:UNI,10069656,regular
244080537,continent,Asia,is_in
244080537,country,China,is_in
244080537,country_code,CN,is_in
244080537,name,汉川市,regular
244080537,de,Hanchuan,name
244080537,en,Hanchuan,name
244080537,fr,Hanchuan,name
244080537,ja,漢川市,name
244080537,vi,Hán Xuyên,name
244080537,zh,汉川市,name
244080537,zh_pinyin,Hànchuān Shì,name
244080537,place,city,regular
244080537,wikidata,Q1337056,regular
244080537,wikipedia,zh:汉川市,regular
244082219,name,武汉市,regular
244082219,place,city,regular
244082219,capital,4,regular
244082219,gns:DSG,ADM2,regular
244082219,gns:UFI,-1930780,regular
244082219,gns:UNI,10069726,regular
244082219,bn,বুহান,name
244082219,ca,Wuhan,name
244082219,cs,Wu-chan,name
244082219,da,Wuhan,name
244082219,de,Wuhan,name
244082219,en,Wuhan,name
244082219,fr,Wuhan,name
244082219,hi,वुहान,name
244082219,ja,武漢市,name
244082219,kn,ವುಹಾನ್,name
244082219,ru,Ухань,name
244082219,sr,Вухан,name
244082219,vi,Vũ Hán,name
244082219,zh,武汉市,name
244082219,gns:ADM1,12,regular
244082219,int_name,Wuhan,regular
244082219,wikidata,Q11746,regular
244082219,wikipedia,en:Wuhan,regular
244082219,population,10670000,regular
244082219,country,China,is_in
244082219,zh_pinyin,Wǔhàn shì,name
244082219,continent,Asia,is_in
244082219,country_code,CN,is_in
244082233,name,武昌区,regular
244082233,place,county,regular
244082233,gns:DSG,ADM3,regular
244082233,gns:UFI,-1930651,regular
244082233,gns:UNI,10069728,regular
244082233,vi,Vũ Xương,name
244082233,zh,武昌区,name
244082233,gns:ADM1,12,regular
