id,key,value,type
26130796,highway,tertiary,regular
26131842,ref,B10,regular
26131842,aeroway,taxiway,regular
26131891,name,喻家湖路,regular
26131891,lanes,2,regular
26131891,oneway,yes,regular
26131891,highway,secondary,regular
26131914,name,福利路,regular
26131914,highway,secondary,regular
27301903,boat,yes,regular
27301903,name,Yangtze River,regular
27301903,en,Yangtze River,name
27301903,zh,長江,name
27301903,waterway,river,regular
27301903,zh_pinyin,Chang Jiang,name
27301942,natural,marsh,regular
27301942,water_type,fresh,regular
27302139,natural,wetland,regular
27302139,wetland,marsh,regular
27302139,water_type,fresh,regular
27303109,boat,yes,regular
27303109,name,长江 - Chang Jiang,regular
27303109,en,Yangzte,name
27303109,zh,长江,name
27303109,zh_pinyin,Cháng Jiāng,name
27303109,waterway,river,regular
27303143,boat,yes,regular
27303143,name,长江 - Chang Jiang,regular
27303143,en,Yangzte,name
27303143,zh,长江,name
27303143,waterway,river,regular
27303143,zh_pinyin,Cháng Jiāng,name
27316817,history,Retrieved from v2,regular
27317521,name,長江 - Cháng Jiāng,regular
27317521,history,Retrieved from v2,regular
27317521,en,Yangtze River - Cháng Jiāng,name
27317521,zh,長江,name
27317521,waterway,riverbank,regular
27317521,source_ref,Aerial Yahoo,regular
27317521,zh_pinyin,Cháng Jiāng,name
27317832,name,徐东大街,regular
27317832,oneway,yes,regular
27317832,highway,trunk,regular
27317847,name,徐东大街,regular
27317847,oneway,yes,regular
27317847,highway,trunk,regular
27317929,name,武汉长江二桥,regular
27317929,layer,2,regular
27317929,bridge,yes,regular
27317929,oneway,yes,regular
27317929,highway,trunk,regular
27317929,zh,武汉长江二桥,name
27317932,name,武汉长江二桥,regular
27317932,lanes,2,regular
27317932,layer,2,regular
27317932,bridge,viaduct,regular
27317932,oneway,yes,regular
27317932,highway,trunk,regular
27317932,zh,武汉长江二桥,name
27318194,name,徐东大街,regular
27318194,lanes,2,regular
27318194,oneway,yes,regular
27318194,highway,trunk,regular
27318401,name,武汉长江二桥,regular
27318401,layer,1,regular
27318401,bridge,yes,regular
27318401,oneway,yes,regular
27318401,highway,trunk,regular
