id,user,uid,version,changeset,timestamp
26130796,Gao xioix,1761629,19,22389256,2014-05-17T13:41:33Z
26131842,Austin Zhu,4816761,11,46678892,2017-03-08T12:12:44Z
26131891,jamesks,2500,9,43983703,2016-11-27T14:29:11Z
26131914,jamesks,2500,12,46960589,2017-03-18T16:45:34Z
27301867,sebastic,665748,7,47916604,2017-04-18T19:31:15Z
27301903,ChrissW-R1,251543,8,40005191,2016-06-13T22:57:02Z
27301915,lurlrlrl,534149,3,12484052,2012-07-25T09:28:12Z
27301920,lurlrlrl,534149,3,12484052,2012-07-25T09:28:12Z
27301942,sebastic,665748,3,47916604,2017-04-18T19:31:16Z
27301960,lurlrlrl,534149,3,12484052,2012-07-25T09:28:13Z
27302008,lurlrlrl,534149,3,12484052,2012-07-25T09:28:13Z
27302139,sebastic,665748,3,47916604,2017-04-18T19:31:16Z
27303109,FreedSky,1236135,10,51048882,2017-08-12T03:55:31Z
27303143,jamesks,2500,11,42602702,2016-10-03T11:32:22Z
27316817,Heinz_V,91490,9,47914365,2017-04-18T18:19:03Z
27316940,lurlrlrl,534149,3,12484052,2012-07-25T09:28:13Z
27316946,lurlrlrl,534149,4,12484052,2012-07-25T09:28:14Z
27316970,lurlrlrl,534149,3,12484052,2012-07-25T09:28:14Z
27316974,lurlrlrl,534149,3,12484052,2012-07-25T09:28:14Z
27316978,lurlrlrl,534149,3,12484052,2012-07-25T09:28:15Z
27317521,jamesks,2500,12,42602702,2016-10-03T11:32:23Z
27317832,GeoSUN,414582,15,17681197,2013-09-05T04:21:24Z
27317847,GeoSUN,414582,15,17150483,2013-07-30T09:57:29Z
27317929,GeoSUN,414582,15,12851569,2012-08-25T09:15:06Z
27317932,jamesks,2500,12,43983703,2016-11-27T13:48:53Z
27318194,GeoSUN,414582,5,17150483,2013-07-30T09:57:29Z
27318401,GeoSUN,414582,14,12851569,2012-08-25T09:15:07Z
27318402,dar44,6127520,14,49930331,2017-06-29T21:03:51Z
27318462,Aurimas Fišeras,651869,13,47892259,2017-04-18T04:58:50Z
27318484,nuklearerWintersturm,75424,6,17465267,2013-08-23T06:27:30Z
27328300,Kostik,384084,17,44105769,2016-12-02T06:30:42Z
27328429,keepcalmandmapon,4846416,9,44214648,2016-12-06T17:08:41Z
27328503,GeoSUN,414582,5,8029072,2011-05-02T09:45:43Z
27402258,GeoSUN,414582,10,12851569,2012-08-25T09:15:05Z
27402263,GeoSUN,414582,9,12851569,2012-08-25T09:15:05Z
27402443,jamesks,2500,15,43983703,2016-11-27T14:28:59Z
27402537,jamesks,2500,13,44117601,2016-12-02T16:36:52Z
27402545,jamesks,2500,7,43985629,2016-11-27T15:28:11Z
27469201,katpatuka,17497,3,4049058,2010-03-06T11:33:42Z
27514658,greecemapper,23785,2,19777864,2014-01-02T23:10:18Z
27514670,greecemapper,23785,2,19777864,2014-01-02T23:10:18Z
27514674,greecemapper,23785,2,19777864,2014-01-02T23:10:18Z
27514709,tuni-map,55238,3,67700,2008-10-04T18:26:01Z
27514765,tuni-map,55238,5,67700,2008-10-04T18:30:06Z
27514860,greecemapper,23785,4,19777864,2014-01-02T23:10:18Z
27514896,greecemapper,23785,2,19777864,2014-01-02T23:10:18Z
27514962,tuni-map,55238,5,67700,2008-10-04T18:34:18Z
27514966,applefl,3392201,3,50908577,2017-08-07T08:04:54Z
27619437,SimpleLuke,2092629,19,25879259,2014-10-05T16:21:15Z
27619462,samsung galaxy s6,3691120,21,39056682,2016-05-03T01:57:39Z
27619474,keepcalmandmapon,4846416,18,44214648,2016-12-06T17:08:41Z
27619530,keepcalmandmapon,4846416,13,44214648,2016-12-06T17:08:41Z
28031446,Mathbau,69102,3,589681,2008-10-26T19:40:21Z
28031753,katpatuka,17497,4,4296985,2010-04-01T19:18:31Z
28031758,Mathbau,69102,1,589681,2008-10-26T19:20:34Z
28032078,Mathbau,69102,3,589681,2008-10-26T19:39:57Z
28032749,Mathbau,69102,1,589681,2008-10-26T19:48:13Z
28033125,Soub,34385,3,8361033,2011-06-06T14:52:15Z
28042397,sebastic,665748,14,47916604,2017-04-18T19:31:16Z
28042404,katpatuka,17497,5,2931962,2009-10-23T18:51:15Z
28061591,Heinz_V,91490,3,47916833,2017-04-18T19:38:53Z
28061594,Heinz_V,91490,4,47916833,2017-04-18T19:38:53Z
28061612,Heinz_V,91490,3,47916833,2017-04-18T19:38:54Z
28061614,lurlrlrl,534149,3,12484052,2012-07-25T09:28:15Z
28061622,lurlrlrl,534149,3,12484052,2012-07-25T09:28:15Z
28117018,katpatuka,17497,2,4049058,2010-03-06T11:33:24Z
28182220,sebastic,665748,16,47916604,2017-04-18T19:31:17Z
28529622,hadhuey,13565,5,772681,2008-11-20T20:46:33Z
28529624,hadhuey,13565,2,772681,2008-11-20T20:46:21Z
28529635,hadhuey,13565,2,772681,2008-11-20T20:46:39Z
28529638,hadhuey,13565,2,772681,2008-11-20T20:46:39Z
28529643,hadhuey,13565,1,772681,2008-11-20T20:46:32Z
28529655,jamesks,2500,10,46968053,2017-03-18T22:39:02Z
28529695,jamesks,2500,14,46968053,2017-03-18T22:39:02Z
28529706,jamesks,2500,7,46968053,2017-03-18T22:39:02Z
28529723,flierfy,445671,13,45680460,2017-01-31T10:06:06Z
28529728,jamesks,2500,4,43849980,2016-11-21T16:39:18Z
28529736,jamesks,2500,8,46968053,2017-03-18T22:39:02Z
28529737,jamesks,2500,5,43849980,2016-11-21T16:39:18Z
28529739,jamesks,2500,3,43849980,2016-11-21T16:39:18Z
28529773,GeoSUN,414582,13,17151613,2013-07-30T11:32:04Z
28529790,jamesks,2500,19,44168978,2016-12-04T23:58:36Z
28529831,GeoSUN,414582,9,12722531,2012-08-14T06:58:15Z
28529886,jamesks,2500,11,44122832,2016-12-02T20:04:41Z
28529906,jamesks,2500,23,44155690,2016-12-04T11:34:28Z
28529908,jamesks,2500,18,44122832,2016-12-02T20:04:41Z
28529914,jamesks,2500,17,43847010,2016-11-21T13:37:22Z
28833560,samsung galaxy s6,3691120,24,48933414,2017-05-24T03:31:11Z
28835067,GeoSUN,414582,5,17114306,2013-07-27T14:10:26Z
28835148,jamesks,2500,33,43983703,2016-11-27T13:48:56Z
28842841,jamesks,2500,9,43964442,2016-11-26T15:31:24Z
28842842,samsung galaxy s6,3691120,6,40007670,2016-06-14T03:22:13Z
28842846,GeoSUN,414582,6,12851569,2012-08-25T06:29:07Z
28842930,jamesks,2500,20,31791599,2015-06-07T14:41:25Z
28843657,Senia1989,4355242,18,41186977,2016-08-02T09:06:14Z
28848153,keepcalmandmapon,4846416,11,44196124,2016-12-06T00:44:42Z
28848203,samsung galaxy s6,3691120,9,48639628,2017-05-13T03:46:31Z
28849929,OSMF Redaction Account,722137,14,12390854,2012-07-20T20:41:30Z
28873638,Gao xioix,1761629,14,39486972,2016-05-22T13:03:26Z
28873691,jamesks,2500,11,43922727,2016-11-24T16:26:47Z
28874337,jamesks,2500,16,43899671,2016-11-23T16:11:53Z
28907281,keepcalmandmapon,4846416,12,44190233,2016-12-05T20:58:24Z
28907308,samsung galaxy s6,3691120,16,48764875,2017-05-17T14:32:56Z
28907665,keepcalmandmapon,4846416,10,44121117,2016-12-02T18:45:28Z
28907680,巴山夜雨,4379011,12,48820713,2017-05-19T12:36:03Z
28908192,jamesks,2500,16,44178865,2016-12-05T10:10:10Z
28908236,GeoSUN,414582,9,17151955,2013-07-30T11:56:36Z
28908295,GeoSUN,414582,16,17147528,2013-07-30T03:58:07Z
28908390,GeoSUN,414582,10,17120881,2013-07-28T04:58:29Z
29027962,jamesks,2500,18,43985629,2016-11-27T15:28:26Z
29028027,Popolon,27454,11,17054107,2013-07-22T20:37:25Z
29028128,antimatterwx,3367759,7,35143275,2015-11-07T06:46:45Z
29028356,Dmitry2013,1185631,19,15019856,2013-02-13T16:34:42Z
29387208,flierfy,445671,7,45698277,2017-01-31T21:26:59Z
29387209,flierfy,445671,5,45698277,2017-01-31T21:26:59Z
29466802,sebastic,665748,10,47916604,2017-04-18T19:31:19Z
33677825,Soub,34385,6,14458505,2012-12-30T00:36:06Z
33677827,Maarten Deen,9176,7,17623289,2013-09-01T18:01:48Z
33677829,jamesks,2500,6,40520297,2016-07-06T12:40:26Z
33677833,jamesks,2500,21,44126232,2016-12-02T22:45:02Z
33677931,lam19342003,1864010,4,19757204,2014-01-02T07:00:46Z
33677933,qianxinlin,38120,9,9382216,2011-09-24T08:08:48Z
33677937,greecemapper,23785,4,17014344,2013-07-19T17:05:37Z
33677938,jamesks,2500,10,43964442,2016-11-26T16:03:01Z
33677939,flierfy,445671,10,45628905,2017-01-29T18:48:37Z
33677969,Maarten Deen,9176,10,40295487,2016-06-26T08:13:43Z
33677970,Maarten Deen,9176,5,40295487,2016-06-26T08:13:44Z
33677971,Maarten Deen,9176,4,40295487,2016-06-26T08:13:44Z
33677973,Maarten Deen,9176,11,40295487,2016-06-26T08:13:44Z
33678037,jamesks,2500,6,44118954,2016-12-02T17:05:32Z
33678040,jamesks,2500,15,44118954,2016-12-02T17:05:32Z
33678271,GeoSUN,414582,9,33157390,2015-08-06T14:56:53Z
33678277,15Tr,1987359,19,36624731,2016-01-16T22:32:25Z
33678351,jamesks,2500,11,44190830,2016-12-05T19:40:22Z
33678406,Aurimas Fišeras,651869,3,47892259,2017-04-18T04:58:50Z
33678410,Math1985,39688,3,26021588,2014-10-12T09:53:55Z
33678413,RichRico,2219338,7,25400252,2014-09-12T21:03:26Z
33678419,katpatuka,17497,2,968331,2009-04-26T06:22:45Z
33678430,dword1511,401110,3,7261479,2011-02-12T05:19:32Z
33678432,katpatuka,17497,1,968331,2009-04-26T06:23:00Z
33678450,flierfy,445671,3,45698277,2017-01-31T21:26:59Z
33678453,flierfy,445671,5,45697797,2017-01-31T21:04:29Z
33678455,Calpurnius,5828909,4,49304778,2017-06-06T12:56:46Z
33678462,Calpurnius,5828909,2,49304778,2017-06-06T12:56:45Z
33678586,jamesks,2500,3,44212221,2016-12-06T16:08:04Z
33678603,jamesks,2500,10,43964442,2016-11-26T16:03:01Z
33678610,greecemapper,23785,4,17014344,2013-07-19T17:05:37Z
33678623,katpatuka,17497,5,968882,2009-04-26T07:50:29Z
33678668,katpatuka,17497,2,968331,2009-04-26T06:39:16Z
33678674,katpatuka,17497,2,6486746,2010-11-29T14:12:16Z
33678680,katpatuka,17497,6,5796647,2010-09-16T15:28:04Z
33679415,jamesks,2500,9,44190830,2016-12-05T19:40:23Z
33679427,jamesks,2500,14,44185971,2016-12-05T15:29:41Z
33679441,jamesks,2500,5,43964442,2016-11-26T16:03:01Z
33679442,jamesks,2500,6,43964442,2016-11-26T16:03:02Z
33679443,jamesks,2500,3,43964442,2016-11-26T16:03:02Z
33679444,jamesks,2500,4,43964442,2016-11-26T16:03:02Z
33679500,samely,2512300,14,49084647,2017-05-29T20:35:26Z
33679505,jamesks,2500,4,44179093,2016-12-05T11:43:07Z
33679750,katpatuka,17497,2,6486746,2010-11-29T14:12:08Z
33679755,katpatuka,17497,2,11028955,2012-03-19T12:11:07Z
33679779,dayaner,2464301,16,41846405,2016-09-01T11:06:45Z
