"","height","weight","handedness","avg","HR","n"
"1",65,148,"R",0.242,41,1
"2",66,160,"R",0.239,3,1
"3",66,165,"R",0.27,33,1
"4",67,150,"L",0.279,36,1
"5",67,160,"B",0.264,93,1
"6",67,160,"L",0.271,268,1
"7",67,167,"R",0.239,3,1
"8",68,155,"R",0.236,9,2
"9",68,164,"R",0.213,25,1
"10",68,165,"R",0.248,2,1
"11",68,167,"R",0.253,20,1
"12",68,170,"L",0.259,12,3
"13",68,170,"R",0.245,13,1
"14",68,180,"L",0.196,5,1
"15",69,140,"B",0.245,13,1
"16",69,150,"L",0.251,7,1
"17",69,150,"R",0.24,35.5,2
"18",69,155,"R",0.278,46,1
"19",69,160,"B",0.242,6,2
"20",69,160,"L",0.282,19.5,2
"21",69,160,"R",0.231,14.5,2
"22",69,162,"R",0.214,5,1
"23",69,165,"B",0.237,23,1
"24",69,165,"L",0.244,4.5,2
"25",69,165,"R",0.242,75.5,2
"26",69,170,"B",0.266,14.5,2
"27",69,170,"L",0.286,103,1
"28",69,170,"R",0.251,19,6
"29",69,172,"B",0.266,36,1
"30",69,173,"R",0.236,37,1
"31",69,175,"L",0.266,41.5,2
"32",69,175,"R",0.25,7,3
"33",69,180,"L",0.257,45,1
"34",69,196,"R",0.243,44,1
"35",70,150,"L",0.245,7,1
"36",70,150,"R",0.275,138,1
"37",70,154,"R",0.245,5,2
"38",70,155,"B",0.26,15,1
"39",70,155,"R",0.256,7,3
"40",70,157,"R",0.242,16,1
"41",70,159,"R",0.24,1,1
"42",70,160,"B",0.258,81.5,2
"43",70,160,"L",0.272,2,3
"44",70,160,"R",0.252,39,10
"45",70,162,"R",0.242,77,1
"46",70,164,"B",0.253,21,1
"47",70,165,"B",0.237,4,1
"48",70,165,"L",0.268,61,5
"49",70,165,"R",0.247,28,11
"50",70,168,"R",0.233,26,1
"51",70,169,"B",0.257,27,1
"52",70,169,"R",0.25,1,1
"53",70,170,"B",0.258,30,1
